timestamp,speed
0,0
0.25,0
0.5,1
0.75,1
1,2
1.25,2
1.5,3
1.75,3
2,4
2.25,4
2.5,5
2.75,6
3,6
3.25,7
3.5,7
3.75,8
4,9
4.25,10
4.5,10
4.75,11
5,12
5.25,12
5.5,13
5.75,14
6,14
6.25,15
6.5,16
6.75,17
7,17
7.25,18
7.5,19
7.75,19
8,21
8.25,22
8.5,22
8.75,23
9,24
9.25,24
9.5,25
9.75,26
10,27
10.25,27
10.5,28
10.75,29
11,29
11.25,30
11.5,31
11.75,31
12,32
12.25,33
12.5,34
12.75,34
13,35
13.25,36
13.5,36
13.75,37
14,38
14.25,39
14.5,39
14.75,40
15,41
15.25,41
15.5,42
15.75,43
16,44
16.25,44
16.5,45
16.75,46
17,46
17.25,47
17.5,48
17.75,49
18,49
18.25,50
18.5,51
18.75,51
19,52
19.25,53
19.5,53
19.75,54
20,55
20.25,56
20.5,56
20.75,57
21,58
21.25,58
21.5,59
21.75,60
22,60
22.25,61
22.5,62
22.75,62
23,63
23.25,64
23.5,64
23.75,65
24,66
24.25,66
24.5,67
24.75,67
25,68
25.25,69
25.5,69
25.75,70
26,70
26.25,71
26.5,71
26.75,72
27,73
27.25,73
27.5,74
27.75,74
28,75
28.25,76
28.5,76
28.75,77
29,77
29.25,78
29.5,78
29.75,79
30,79
30.25,80
30.5,81
30.75,81
31,82
31.25,82
31.5,83
31.75,83
32,84
32.25,84
32.5,85
32.75,85
33,86
33.25,86
33.5,87
33.75,87
34,88
34.25,88
34.5,89
34.75,89
35,90
35.25,90
35.5,91
35.75,91
36,92
36.25,92
36.5,93
36.75,93
37,94
37.25,94
37.5,94
37.75,95
38,95
38.25,96
38.5,96
38.75,96
39,97
39.25,97
39.5,97
39.75,98
40,98
40.25,98
40.5,98
40.75,98
41,98
41.25,99
41.5,99
41.75,99
42,99
42.25,99
42.5,99
42.75,99
43,99
43.25,99
43.5,99
43.75,100
