timestamp,event_type,value,distance_m,speed_mph,speed_limit_mph,distance_to_next_station,signal_id,next_stop,platform
2026-01-31T10:37:57.268300+00:00,next_stop,fo,0.00,,,,,fo,a
2026-01-31T10:37:57.268615+00:00,platform,a,0.00,,,,,fo,a
2026-01-31T10:38:00.569532+00:00,signal_id,Y,0.00,0,,,Y,Oae,
2026-01-31T10:38:00.569623+00:00,next_stop,Oae,0.00,0,,,Y,Oae,
2026-01-31T10:38:02.219833+00:00,next_stop,a,0.73,1,,,,a,i
2026-01-31T10:38:02.219924+00:00,platform,i,0.00,1,,,,a,i
2026-01-31T10:38:03.841999+00:00,next_stop,i,2.95,4,,,,i,it
2026-01-31T10:38:03.842089+00:00,platform,it,0.00,4,,,,i,it
2026-01-31T10:38:05.492358+00:00,next_stop,ie,0.00,,,,,ie,
2026-01-31T10:38:07.199712+00:00,next_stop,a,9.56,13,,,,a,
2026-01-31T10:38:08.900949+00:00,next_stop,fo,0.00,,,,,fo,a
2026-01-31T10:38:08.901057+00:00,platform,a,0.00,,,,,fo,a
2026-01-31T10:38:20.746787+00:00,next_stop,ee,0.00,,,,,ee,a
2026-01-31T10:38:29.246899+00:00,platform_marker,start,0.00,,,,,ee,a
2026-01-31T10:43:49.909340+00:00,next_stop,elgSSSESSAlllgEEEIIEIEEIIEEIEIIEEE,0.00,,,,,elgSSSESSAlllgEEEIIEIEEIIEEIEIIEEE,a
2026-01-31T10:44:15.394430+00:00,next_stop,iCloude,0.00,,,,,iCloude,4
2026-01-31T10:44:15.394541+00:00,platform,4,0.00,,,,,iCloude,4
2026-01-31T10:44:35.891757+00:00,stop_marker,3,0.00,,,,,iCloude,4
2026-01-31T10:45:30.842576+00:00,platform,a,0.00,,,,,iCloude,a
2026-01-31T10:45:32.546603+00:00,next_stop,siCloud,0.00,,,,,siCloud,4
2026-01-31T10:45:32.546708+00:00,platform,4,0.00,,,,,siCloud,4
2026-01-31T10:45:34.245110+00:00,next_stop,iCloude,0.00,,3,,,iCloude,4
